read1,CP050633.1,79.612,103,14,3,1,100,15288795,15288697,1.45e-14,85.1
read2,CP050633.1,82.955,88,13,2,9,96,15597235,15597150,1.45e-14,85.1
read5,CP050633.1,87.000,100,13,0,1,100,13794355,13794256,5.75e-26,123
read6,CP050643.1,92.045,88,7,0,1,88,44498576,44498489,1.35e-27,128
read7,CP050643.1,89.216,102,6,2,1,100,43573816,43573718,1.11e-28,131
read8,AP023165.1,94.000,100,6,0,1,100,497564,497465,9.73e-36,154
read10,CP050633.1,91.000,100,9,0,1,100,11733416,11733317,2.14e-31,141
read11,CP050643.1,77.273,88,16,2,1,88,40852724,40852641,1.35e-08,64.4
read12,CP050643.1,79.208,101,19,2,1,100,45712089,45711990,1.76e-13,81.5
read13,CP050631.1,86.000,100,12,2,1,99,56830450,56830352,1.04e-22,111
read14,CP050633.1,92.632,95,5,2,6,100,16285849,16285757,3.18e-29,133
read15,CP050643.1,88.660,97,11,0,4,100,42748312,42748216,4.72e-27,126
read16,CP050633.1,79.412,102,18,3,1,100,19022285,19022185,6.15e-13,79.7
read17,CP050643.1,82.192,73,12,1,11,82,44104491,44104419,3.18e-10,70.7
read18,CP050588.1,73.333,105,14,5,8,100,44619846,44619744,2.45e-05,54.5
read19,CP050633.1,85.567,97,13,1,1,97,14483528,14483433,3.63e-22,109
read20,CP050643.1,92.000,100,8,0,1,100,41352419,41352320,5.04e-33,145
read22,AC197467.12,96.296,27,1,0,7,33,65656,65682,0.013,45.5
read23,CP050633.1,88.506,87,6,2,18,100,37349818,37349732,1.27e-21,107
read24,CP050643.1,85.000,60,9,0,38,97,41775854,41775795,1.11e-09,68.9
read25,CP050633.1,93.750,96,6,0,1,96,13746103,13746008,1.44e-33,147
read26,CP050643.1,82.828,99,17,0,2,100,42300347,42300249,5.39e-20,103
read27,CP050643.1,95.082,61,3,0,3,63,43965196,43965136,2.29e-18,97.8
read28,CP050643.1,76.087,92,22,0,9,100,42324232,42324141,1.11e-09,68.0
read29,CP050643.1,80.851,94,13,3,1,94,41784855,41784767,1.76e-13,80.6
read30,CP050631.1,84.211,95,14,1,2,96,56752525,56752432,1.88e-19,101
read31,CP050643.1,80.435,92,18,0,1,92,40770956,40770865,4.14e-15,86.0
read32,CP050643.1,83.168,101,16,1,1,100,41609098,41608998,5.39e-20,103
read33,CP050620.1,84.615,39,6,0,16,54,1598586,1598624,0.013,44.6
read33,CP050601.1,87.879,33,4,0,66,98,25806693,25806725,0.044,42.8
read34,CP050629.1,83.333,42,5,1,35,74,41269097,41269056,0.044,42.8
read35,CP050633.1,80.723,83,14,1,2,84,11736964,11736884,7.49e-12,76.1
read38,CP050633.1,85.185,81,10,2,21,100,17701434,17701355,4.14e-15,86.0
read39,CP050643.1,85.915,71,8,2,3,73,44767967,44767899,2.15e-12,77.0
read42,CP050643.1,75.556,90,11,2,22,100,40176381,40176292,1.35e-08,65.3
read44,AP023167.1,87.179,39,4,1,17,54,33084358,33084396,0.013,45.5
read46,CP050616.1,89.024,82,5,1,19,100,26023437,26023514,1.27e-21,107
read49,CP050613.1,84.375,96,15,0,5,100,82481017,82480922,4.42e-21,106
read50,CP050625.1,84.314,51,7,1,38,88,85585099,85585050,2.45e-05,53.6
read54,CP050613.1,78.378,74,16,0,13,86,27786783,27786856,4.73e-08,62.6
read58,CP050633.1,90.909,33,2,1,36,68,10131150,10131181,0.044,43.7
read61,CP050613.1,85.000,40,6,0,52,91,34100397,34100358,0.004,46.4
read68,CP050609.1,90.909,33,2,1,2,34,26417844,26417813,0.044,43.7
read69,CP050614.1,83.333,48,6,1,4,51,30795313,30795268,0.001,49.1
read74,AP023166.1,90.909,33,3,0,67,99,38973906,38973874,0.004,47.3
read74,CP050622.1,84.211,38,6,0,44,81,56136906,56136943,0.044,42.8
read75,CP050630.1,83.333,78,13,0,21,98,34788497,34788574,5.05e-14,83.3
read76,CP050638.1,86.111,36,5,0,62,97,24867648,24867613,0.044,43.7
read78,AP023162.1,81.481,54,6,3,28,79,43483409,43483460,0.044,43.7
read78,CP050634.1,96.429,28,0,1,11,37,11976589,11976562,0.044,43.7
read80,CP050615.1,74.286,70,17,1,6,75,8750299,8750231,0.044,42.8
read82,CP050622.1,84.444,45,6,1,51,95,58357119,58357162,0.004,47.3
read83,AP023164.1,81.250,48,9,0,50,97,30748814,30748767,0.004,47.3
read84,CP050621.1,82.979,47,8,0,6,52,22052706,22052752,2.98e-04,50.0
read87,AP023164.1,93.182,44,3,0,1,44,88099529,88099486,3.88e-09,67.1
read90,CP050608.1,80.851,94,17,1,5,97,39482332,39482239,4.14e-15,86.0
read91,CP050620.1,92.857,28,2,0,65,92,64185342,64185369,0.044,42.8
read94,CP050632.1,93.333,30,2,0,43,72,47332296,47332325,0.004,46.4
read94,CP050642.1,92.857,28,2,0,1,28,72886187,72886214,0.044,42.8
read100,CP050629.1,73.494,83,21,1,1,83,38171868,38171787,0.001,48.2


